"Title", "Directors", "Release Date", "Rating", "Run Time", "Genres"
"12 Angry Men", "Sidney Lumet", "4/10/1957", "Not Rated", "95 mins", "Drama"
"2001: A Space Odyssey", "Stanley Kubrick", "4/3/1968", "G", "140 mins", "Science fiction"
"A Clockwork Orange", "Stanley Kubrick", "12/19/1971", "R", "137 mins", "Drama, Fantasy"
"A Night At The Opera", "Sam Wood", "11/15/1935", "Passed", "90 mins", "Comedy"
"A Streetcar Named Desire", "Elia Kazan", "3/22/1952", "PG", "125 mins", "Drama"
"All About Eve", "Joseph L. Mankiewicz", "10/27/1950", "Passed", "138 mins", "Drama"
"All The President's Men", "Alan J. Pakula", "4/1/1976", "PG", "136 mins", "Drama"
"American Graffiti", "George Lucas", "8/11/1973", "PG", "110 mins", "Comedy"
"Annie Hall", "Woody Allen", "4/20/1977", "PG", "94 mins", "Romantic comedy"
"Apocalypse Now", "Francis Ford Coppola", "8/15/1979", "R", "157 mins", "Drama"
"Ben-Hur", "William Wyler", "1/29/1960", "G", "212 mins", "Epic"
"Blade Runner", "Ridley Scott", "6/25/1982", "R", "124 mins", "Science fiction"
"Bonnie And Clyde", "Arthur Penn", "8/13/1967", "R", "111 mins", "Biography, Drama"
"Bringing Up Baby", "Howard Hawks", "2/18/1938", "Not Rated", "102 mins", "Screwball comedy"
"Butch Cassidy And The Sundance Kid", "George Roy Hill", "10/24/1969", "PG", "112 mins", "Comedy-drama, Western"
"Cabaret", "Bob Fosse", "2/13/1972", "PG", "124 mins", "Drama, Musical"
"Casablanca", "Michael Curtiz", "1/23/1943", "PG", "103 mins", "Romance" 
"Chinatown", "Roman Polanski", "6/20/1974", "R", "132 mins", "Mystery, Romance"
"Citizen Kane", "Orson Welles", "9/5/1941", "PG", "119 mins", "Drama"
"City Lights", "Charles Chaplin", "3/7/1931", "G", "87 mins", "Comedy-drama"
"Do The Right Thing", "Spike Lee", "6/30/1989", "R", "120 mins", "Drama"
"Double Indemnity", "Billy Wilder", "4/24/1944", "Passed", "106 mins", "Film noir"
"Dr. Strangelove", "Stanley Kubrick", "1/29/1964", "PG", "102 mins", "Black comedy"
"Duck Soup", "Leo McCarey", "11/17/1933", "Not Rated", "80 mins", "Comedy"
"E.T", "Steven Spielberg", "6/11/1982", "PG", "120 mins", "Fantasy, Science fiction"
"Easy Rider", "Dennis Hopper", "7/14/1969", "R", "95 mins", "Drama"
"Forrest Gump", "Robert Zemeckis", "7/6/1994", "PG-13", "142 mins", "Comedy-drama"
"Gone With The Wind", "Victor Fleming, Sam Wood, George Cukor, Chester Franklin, James Fitzpatrick", "1/17/1940", "Passed", "220 mins", "Romance"
"Goodfellas", "Martin Scorsese", "9/19/1990", "R", "146 mins", "Drama"
"High Noon", "Fred Zinnemann", "7/30/1952", "PG", "87 mins", "Western"
